Level,Date,ApplicationName,ApplicationPresentation,Event,EventPresentation,User,UserName,Computer,Metadata,MetadataPresentation,Comment,Data,DataPresentation,TransactionStatus,TransactionID,Connection,Session,ServerName,Port,SyncPort
Information,2024-12-10T14:06:29,BackgroundJob,Фоновое задание,_$Job$_.Start,Фоновое задание. Запуск,00000000-0000-0000-0000-000000000000,,,ScheduledJob.ОбновлениеАктивныхСеансовСЛС,Регламентное задание. Обновление активных сеансов системы лицензирования,,Обновление активных сеансов системы лицензирования,,NotApplicable,,31390,73175,app01,1564,0
Information,2024-12-10T14:06:29,BackgroundJob,Фоновое задание,_$Job$_.Finish,Фоновое задание. Успешное завершение,00000000-0000-0000-0000-000000000000,,,ScheduledJob.ОбновлениеАктивныхСеансовСЛС,Регламентное задание. Обновление активных сеансов системы лицензирования,,Обновление активных сеансов системы лицензирования,,NotApplicable,,31390,73175,app01,1564,0
Information,2024-12-10T14:06:29,BackgroundJob,Фоновое задание,_$Session$_.Finish,Сеанс. Завершение,00000000-0000-0000-0000-000000000000,,,,,,,,NotApplicable,,0,73175,,0,0
Warning,2024-12-10T14:06:33,BackgroundJob,Фоновое задание,_$Session$_.ConfigExtensionApplyError,Сеанс. Ошибка применения расширения конфигурации,00000000-0000-0000-0000-000000000000,,,,,ПарсингHH: Низкая: Расширение неактивно и не будет применено,"
			
		",,NotApplicable,,31393,73176,app01,1564,0
Information,2024-12-10T14:06:33,BackgroundJob,Фоновое задание,_$Job$_.Start,Фоновое задание. Запуск,00000000-0000-0000-0000-000000000000,,,ScheduledJob.ПолучениеИОтправкаЭлектронныхПисем4,Регламентное задание. Получение и отправка электронных писем №4,,Получение и отправка электронных писем №4,,NotApplicable,,31393,73176,app01,1564,0
Warning,2024-12-10T14:06:33,BackgroundJob,Фоновое задание,_$Session$_.ConfigExtensionApplyError,Сеанс. Ошибка применения расширения конфигурации,00000000-0000-0000-0000-000000000000,,,,,ПарсингHH: Низкая: Расширение неактивно и не будет применено,"
			
		",,NotApplicable,,31394,73177,app01,1564,0
Information,2024-12-10T14:06:33,BackgroundJob,Фоновое задание,_$Job$_.Start,Фоновое задание. Запуск,00000000-0000-0000-0000-000000000000,,,ScheduledJob.ПроверкаВыполнениеПравилСобытий,Регламентное задание. Проверка и выполнение правил событий,,Проверка и выполнение правил событий,,NotApplicable,,31394,73177,app01,1564,0
Information,2024-12-10T14:06:33,BackgroundJob,Фоновое задание,Взаимодействия,Взаимодействия,00000000-0000-0000-0000-000000000000,,,,,Начато регламентное получение и отправка электронной почты,,,NotApplicable,,31393,73176,app01,1564,0
Warning,2024-12-10T14:06:33,BackgroundJob,Фоновое задание,_$Session$_.ConfigExtensionApplyError,Сеанс. Ошибка применения расширения конфигурации,00000000-0000-0000-0000-000000000000,,,,,ПарсингHH: Низкая: Расширение неактивно и не будет применено,"
			
		",,NotApplicable,,31395,73178,app01,1564,0
Information,2024-12-10T14:06:33,BackgroundJob,Фоновое задание,_$Job$_.Start,Фоновое задание. Запуск,00000000-0000-0000-0000-000000000000,,,ScheduledJob.ПолучениеИОтправкаЭлектронныхПисем3,Регламентное задание. Получение и отправка электронных писем №3,,Получение и отправка электронных писем №3,,NotApplicable,,31395,73178,app01,1564,0
